Count,Artist,Year,streams,Song,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,Tom Odell,2012,1813673666,Another Love,10,15,18371,83,250,122,3394,19,NA,123,E,Minor,45,13,54,70,0,9,4
1,The Weeknd,2019,3703895074,Blinding Lights,11,29,43899,69,672,199,3421,20,NA,171,C#,Major,50,38,80,0,0,9,7
1,Kali Uchis,2023,256483385,Moonlight,2,24,2649,42,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
1,Manuel Turizo,2022,1214083358,La Bachata,5,26,6804,45,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4
1,Karol G,2023,16011326,S91,7,14,525,41,34,115,39,6,216,128,NA,Minor,86,42,72,59,0,9,19
1,Taylor Swift,2020,812019557,cardigan,7,24,7923,29,106,112,142,4,215,130,NA,Minor,61,53,58,55,0,27,4
2,"dennis, MC Kevin o Chris",2023,111947664,Tï¿½ï¿,5,4,731,15,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5
2,"PinkPantheress, Ice Spice",2023,156338624,Boy's a liar Pt. 2,2,3,5184,41,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
3,"Charlie Puth, BTS, Jung Kook",2022,720434240,Left and Right (Feat. Jung Kook of BTS),6,24,3107,39,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3
2,"Rauw Alejandro, ROSALï¿½",2023,357925728,BESO,3,24,4053,50,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14
2,"Ozuna, Feid",2022,674072710,Hey Mor,10,6,4637,38,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29
1,Chris Molitor,1999,1755214421,Yellow,1,1,31358,43,196,2,4053,5,0,173,B,Major,43,28,66,0,0,23,3
1,Taylor Swift,2022,404562836,Karma,10,21,3818,23,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7
1,Libianca,2022,373199958,People,12,2,3506,56,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7
1,Post Malone,2023,14780425,Overdrive,7,14,410,36,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
1,Taylor Swift,2023,39578178,Enchanted (Taylor's Version),7,7,148,24,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
2,"Rauw Alejandro, Bizarrap",2023,54266102,BABY HELLO,6,23,1004,35,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
1,Glass Animals,2020,2557975762,Heat Waves,6,28,22543,63,386,144,707,28,NA,81,B,Major,76,53,53,44,0,9,9
1,JVKE,2022,751134527,golden hour,7,15,4511,36,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3
1,The Neighbourhood,2012,2282771485,Sweater Weather,5,14,16413,61,166,87,1056,1,NA,124,A#,Major,61,41,81,5,2,10,3
2,"Bizarrap, Quevedo",2022,1356565093,"Quevedo: Bzrp Music Sessions, Vol. 52",7,6,8506,45,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
1,Coldplay,2008,1592909789,Viva La Vida,1,1,33898,62,233,0,4095,9,0,138,F,Minor,49,42,62,9,0,11,3
1,d4vd,2022,635412045,Here With Me,7,17,3246,23,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3
2,"Sam Smith, Kim Petras",2022,1230675890,Unholy (feat. Kim Petras),9,22,8576,42,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9
2,"Yandel, Feid",2022,585695368,Yandel 150,12,20,3618,38,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7
1,Maria Becerra,2023,43857627,CORAZï¿½ï¿½N VA,6,22,370,20,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6
1,Vance Joy,1975,2009094673,Riptide,1,1,31123,55,300,65,1003,1,0,102,C#,Major,48,50,73,43,0,15,4
2,"Em Beihold, Stephen Sanchez",2022,600976848,Until I Found You (with Em Beihold) - Em Beihold Version,4,22,2790,30,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3
2,"Mc Livinho, DJ Matt D",2023,39709092,Novidade na ï¿½ï¿,6,23,267,9,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9
1,Taylor Swift,2023,39228929,Back To December (Taylor's Version),7,7,139,17,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
2,"Justin Bieber, The Kid Laroi",2021,2665343922,STAY (with Justin Bieber),7,9,17050,36,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5
2,"Marshmello, Manuel Turizo",2023,223633238,El Merengue,3,3,2114,44,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
1,Lewis Capaldi,2018,2887241814,Someone You Loved,11,8,17836,53,440,125,1800,0,NA,110,C#,Major,50,45,41,75,0,11,3
2,"Chencho Corleone, Bad Bunny",2022,1440757818,Me Porto Bonito,5,6,8870,43,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8
1,Jain,2015,165484133,Makeba,6,22,6060,53,150,148,2703,22,1451,116,D,Major,82,40,66,39,51,25,7
2,"Ayparia, unxbected",2012,58054811,MONTAGEM - FR PUNK,6,20,641,50,1,52,8,0,1170,129,A,Major,63,84,82,70,8,9,7
1,Luke Combs,2023,157058870,Fast Car,3,24,1446,12,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
1,Doechii,2023,95131998,What It Is (Solo Version),3,17,804,25,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
2,"Bad Bunny, Eladio Carrion",2023,250305248,Coco Chanel,3,17,1962,38,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
1,Taylor Swift,2017,685032533,Donï¿½ï¿½ï¿½t Bl,11,8,4875,23,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4
1,Jung Kook,2020,38411956,Still With You,6,5,31,39,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4
2,"J. Cole, Lil Durk",2023,144565150,All My Life (feat. J. Cole),5,12,2175,23,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
1,Lana Del Rey,2023,127567540,Say Yes To Heaven,3,17,2000,46,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
1,SZA,2022,399686758,Snooze,12,9,2839,25,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13
1,Lana Del Rey,2011,983637508,Summertime Sadness,1,1,20333,52,89,143,1632,3,200,112,C#,Minor,56,24,66,7,0,12,3
1,BTS,2023,118482347,Take Two,6,9,674,47,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
1,Taylor Swift,2012,882831184,Lover,1,1,8448,23,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10
3,"Future, Metro Boomin, Don Toliver",2022,286400165,Too Many Nights (feat. Don Toliver & with Future),12,2,2110,58,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5
1,Post Malone,2023,172825906,Chemical,4,14,2528,39,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5
1,Eminem,2004,1241559043,Mockingbird,1,1,12985,61,49,98,2394,5,204,84,E,Minor,62,24,67,21,0,13,28
1,NewJeans,2023,29562220,New Jeans,7,7,77,35,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
1,Carin Leon,2022,77309611,Primera Cita,4,20,266,27,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6
3,"Dua Lipa, Elton John, Pnau",2017,1605224506,Cold Heart - PNAU Remix,11,10,21097,52,384,135,1034,37,312,116,C#,Major,80,92,80,4,0,10,3
1,Ruth B.,2017,1116995633,Dandelions,4,28,3423,21,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3
1,Imagine Dragons,2021,838079900,Bones,3,11,4198,44,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5
1,Adele,2011,1163620694,Set Fire to the Rain,1,1,14739,43,88,112,2163,5,519,108,D,Minor,61,47,68,0,0,13,3
2,"Kendrick Lamar, Jay Rock",2012,1093605526,Money Trees,1,1,26792,32,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10
1,Anggi Marito,2022,179659294,Tak Segampang Itu,12,2,213,6,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3
2,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,39058561,LAGUNAS,6,22,58,18,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3
1,Taylor Swift,2023,36912123,Mine (Taylor's Version),7,7,99,15,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
1,Tears For Fears,1985,1205951614,Everybody Wants To Rule The World,2,17,41751,25,101,32,2655,0,666,112,G,Major,64,54,81,36,0,11,6
1,J. Cole,2014,1791000570,No Role Modelz,12,9,21164,36,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33
1,Loreen,2023,201660859,Tattoo,2,25,2988,59,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
2,"Taiu, Milo j",2023,248088961,Rara Vez,2,8,893,38,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
3,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023,90839753,VAGABUNDO,5,12,1094,34,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6
1,Taylor Swift,2020,607123776,august,7,24,7324,22,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3
2,"Junior H, Peso Pluma",2023,55842345,LUNA,6,22,201,11,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4
2,"Calvin Harris, Ellie Goulding",2023,211050784,Miracle (with Ellie Goulding),3,10,5120,48,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4
1,Sabrina Carpenter,2022,342897938,Nonsense,7,15,2346,27,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4
2,"Carin Leon, Grupo Frontera",2022,2762,Que Vuelvas,12,9,763,26,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4
1,Peso Pluma,2021,330346424,Por las Noches,6,11,457,24,8,116,4,3,2,92,NA,Major,81,39,60,31,0,7,3
1,Feid,2022,601863821,Feliz Cumpleaï¿½ï¿½os Fe,8,19,3430,38,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7
3,"Ray Dalton, Ryan Lewis, Macklemore",2011,1953533826,Can't Hold Us (feat. Ray Dalton),8,16,6074,52,201,44,6551,2,0,146,D,Major,63,88,93,3,0,10,8
1,Harry Styles,2019,2322580122,Watermelon Sugar,11,17,21915,34,437,115,1212,12,NA,95,NA,Major,55,56,82,12,0,34,5
2,"Billie Eilish, Khalid",2017,2355719893,lovely - Bonus Track,8,11,15032,30,221,96,1078,2,136,115,E,Minor,35,12,30,93,0,10,3
2,"Rauw Alejandro, Bizarrap",2023,66902503,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",6,21,871,32,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5
1,(G)I-DLE,2023,96273746,Queencard,5,15,451,33,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5
1,NewJeans,2023,430977451,OMG,1,2,1783,27,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
1,Lana Del Rey,2011,284819874,Radio,1,1,9389,46,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9
2,"Shakira, Bizarrap",2023,721975598,"Shakira: Bzrp Music Sessions, Vol. 53",1,11,5724,44,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
1,Arctic Monkeys,2007,1217120710,505,4,20,13985,25,30,80,588,1,1,140,NA,Major,52,20,85,0,0,7,5
4,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,109276132,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",6,2,1051,16,31,37,31,0,189,140,NA,Major,63,22,54,46,0,12,8
3,"Travis Scott, Young Thug, Metro Boomin",2022,276259178,Trance (with Travis Scott & Young Thug),12,2,1682,46,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34
5,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,54225632,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",5,22,182,8,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4
1,Ed Sheeran,2017,2559529074,Perfect,1,1,16596,13,7,0,2094,0,0,95,G#,Major,60,17,45,16,0,11,2
1,d4vd,2022,681583126,Romantic Homicide,7,20,2335,23,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3
1,Imagine Dragons,2017,2594040133,Believer,1,31,18986,23,250,121,2969,10,31,125,A#,Minor,77,74,78,4,0,23,11
4,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,81102253,Novo Balanï¿½,5,19,283,7,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6
2,"Mc Pedrinho, DJ 900",2023,11956641,"Gol Bolinha, Gol Quadrado 2",6,1,293,8,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
1,Eminem,2002,1687664027,Without Me,1,1,21081,43,98,76,3889,5,0,112,G,Major,92,67,66,0,0,36,9
3,"Sog, Ryan Castro, Peso Pluma",2023,11599388,QUEMA,7,13,437,31,17,29,26,3,208,97,NA,Major,79,92,89,5,0,6,5
2,"The Weeknd, Lana Del Rey",2016,611700552,Stargirl Interlude,11,24,1275,32,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11
2,"Bomba Estï¿½ï¿½reo, Bad B",2022,1133865788,Ojitos Lindos,5,6,6135,38,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4
1,Keane,2004,1089402494,Somewhere Only We Know,1,1,20015,16,107,69,5239,0,558,172,A,Major,45,33,59,6,0,8,3
1,New West,2019,411747614,Those Eyes,5,10,1507,14,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3
1,Chino Pacas,2023,255932395,El Gordo Trae El Mando,1,27,539,21,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
1,Natanael Cano,2023,31873544,Mi Bello Angel,6,30,86,8,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
1,Peso Pluma,2023,95053634,Bye,5,26,324,14,13,110,8,2,60,122,NA,Major,78,70,81,57,0,10,5
2,"Don Omar, Lucenzo",2010,1279434863,Danza Kuduro,1,1,17138,37,119,81,974,1,503,130,NA,Major,47,86,92,8,0,5,24
2,"Ana Castela, AgroPlay",2023,233801632,Nosso Quadro,2,2,894,9,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
1,Bruno Mars,2012,1481349984,Locked Out Of Heaven,12,5,1622,9,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5
3,"Big One, FMK, Ke personajes",2023,142095275,Un Finde | CROSSOVER #2,4,4,561,14,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
2,"Drake, 21 Savage",2022,618885532,Jimmy Cooks (feat. 21 Savage),6,17,5871,27,81,121,58,1,34,163,NA,Major,54,40,67,0,0,9,17
1,OneRepublic,2013,2011464183,Counting Stars,1,1,29215,43,179,97,3394,11,153,122,C#,Minor,66,48,71,6,0,12,4
1,Justin Bieber,2021,1167330737,Ghost,3,19,5866,24,107,38,95,0,NA,154,D,Major,61,41,74,21,0,40,6
1,Chris Brown,2019,929964809,Under The Influence,10,4,3859,26,133,181,3,0,NA,117,A,Minor,73,31,69,6,0,11,4
2,"Natanael Cano, Peso Pluma",2023,436027885,PRC,1,23,961,26,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
1,Daddy Yankee,2004,657723613,Gasolina,7,13,6457,18,98,95,453,0,454,96,NA,Major,86,74,80,33,0,8,6
3,"Drake, WizKid, Kyla",2016,2713922350,One Dance,4,4,43257,24,433,107,3631,0,26,104,C#,Major,77,36,63,1,0,36,5
1,Taylor Swift,2010,621660989,Enchanted,1,1,4564,16,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3
1,The Weeknd,2020,1591223784,Save Your Tears,3,20,12688,13,197,115,112,0,200,118,NA,Major,68,61,82,2,0,50,3
1,Miguel,2010,950906471,Sure Thing,5,25,13801,19,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10
1,The Police,1983,1593270737,Every Breath You Take - Remastered 2003,1,6,22439,19,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3
1,Lord Huron,2015,1410088830,The Night We Met,2,2,18515,35,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4
2,"Rihanna, Calvin Harris",2011,1235005533,We Found Love,1,1,36843,21,321,91,4607,1,58,128,C#,Major,73,60,77,3,0,11,4
1,Bruno Mars,2012,1661187319,When I Was Your Man,12,5,2420,11,0,0,806,0,0,145,NA,Major,60,43,27,94,0,14,4
1,Alec Benjamin,2018,1374581173,Let Me Down Slowly,5,25,5897,19,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3
3,"A$AP Rocky, Metro Boomin, Roisee",2023,94186466,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",6,2,727,16,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
1,Arctic Monkeys,2013,1788326445,Do I Wanna Know?,1,1,33783,26,133,92,2733,1,26,85,F,Major,55,42,53,17,0,22,3
1,Imagine Dragons,2012,1840364617,Demons,1,1,26694,13,65,82,3425,4,13,180,D#,Major,33,38,71,20,0,28,5
1,YOASOBI,2023,143573775,ýýýýýýýýýýýý,4,12,356,16,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9
1,The Weeknd,2016,684675814,Reminder,11,25,6518,17,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22
1,Taylor Swift,2014,1113838873,Shake It Off,1,1,21335,13,328,70,1378,9,20,160,G,Major,65,95,80,5,0,41,16
1,Arctic Monkeys,2013,1267333350,Why'd You Only Call Me When You're High?,1,1,23389,29,54,70,1089,2,1,92,D,Major,70,81,63,4,0,8,4
1,Rosa Linn,2022,726307468,SNAP,3,19,3202,18,148,80,226,24,0,170,NA,Major,56,53,64,11,0,45,6
1,Ed Sheeran,2017,3562543890,Shape of You,1,6,32181,10,33,0,6808,7,0,96,C#,Minor,83,93,65,58,0,9,8
1,One Direction,2014,1131090940,Night Changes,11,17,7124,18,60,20,2,0,NA,120,G#,Major,67,40,52,86,0,12,4
2,"Oscar Maydon, Junior H",2023,307370144,Fin de Semana,1,13,592,14,11,84,6,1,30,98,NA,Major,70,37,54,6,0,9,8
1,Radiohead,1992,1271293243,Creep,9,21,36724,7,146,72,6807,5,80,92,G,Major,53,12,34,1,0,12,4
1,James Arthur,2019,265882712,Car's Outside,10,18,794,10,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3
1,Cigarettes After Sex,2017,841749534,Apocalypse,3,21,13091,17,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3
1,Shubh,2023,47956378,Cheques,5,19,67,8,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
1,Frank Ocean,2016,806397070,Pink + White,8,20,21574,30,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11
1,Post Malone,2019,2132335812,Circles,8,30,19664,16,391,73,633,3,37,120,NA,Major,70,59,75,24,0,9,4
1,Bruno Mars,2010,1641426668,Just The Way You Are,1,1,21106,13,82,0,2946,0,0,109,F,Major,63,46,85,1,0,9,5
1,Hozier,2013,2135158446,Take Me To Church,9,13,23804,31,187,99,4623,1,0,129,E,Minor,57,41,66,63,0,12,5
